new_column_name,"We can run the program with ÿÿÿÿÿÿÿÿÿ
,queoption of Start Menu."
,quePDA stands for = -----------
,queFiles or Folders can be zipped.
,que"using ----------- various components
,queon motherboard communicate with each other."
,que"The period of first generation
,quecomputer was in between ------- to 1956."
,que"On status bar, Views like Print Layout,
,queFull Screen Reading View, Web Layout, Outline Draft etc. These buttons are called as ""View Buttons""."
,que"If we want more space from the left
,quemargin for a particular paragraph, then use ???? indent"
,que"In MS Word, In order to save a file,
,queon the Standard toolbar, click on the Save button."
,que"Portrait and Landscape are ?Page
,queOrientation."
,que"There are ?????.. Alignments in
,queMS-WORD."
,que"Toolbar near to File Menu is called as
,que???.."
,que"To select a whole row, click the
,quemouse pointer on the number of ÿÿÿÿÿÿÿ"
,que"With ÿÿÿÿÿÿÿÿÿfunction, we get minimum
,quevalue in Range"
,que"If we increase the height of the row,
,quethe text matter automatically gets shifted to the ÿÿÿÿÿÿÿÿÿof the Cell"
,que"Underline is used to make the text
,queÿÿÿÿÿÿÿÿÿÿÿin the selected cells"
,que"In PowerPoint Broadcast Slide Show
,queoption is available under
,queÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿribbon."
,que"To add copy of current slide -------------
,que--- command is used by clicking on the slide with mouse."
,que"To Change Slide layout ----------------- option selected on Home tab in slide
,quegroup."
,que"Presentation files are made in ----------
,que- type of software."
,que"Video file can be inserted in the slide
,quethrough -"
,queÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIs Search Engine.
,que"You can send attachment with E-Mail,
,queby ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIt"
,que"Main computer on Network is called
,queas ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
,que"ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿShows a location address
,queon the Browser."
,que"While Message data sending,
,queconnecting and breaking are controlled by ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
