que,"We can run the program with ÿÿÿÿÿÿÿÿÿ
que,option of Start Menu."
que,PDA stands for = -----------
que,Files or Folders can be zipped.
que,"using ----------- various components
que,on motherboard communicate with each other."
que,"The period of first generation
que,computer was in between ------- to 1956."
que,"On status bar, Views like Print Layout,
que,Full Screen Reading View, Web Layout, Outline Draft etc. These buttons are called as ""View Buttons""."
que,"If we want more space from the left
que,margin for a particular paragraph, then use ???? indent"
que,"In MS Word, In order to save a file,
que,on the Standard toolbar, click on the Save button."
que,"Portrait and Landscape are ?Page
que,Orientation."
que,"There are ?????.. Alignments in
que,MS-WORD."
que,"Toolbar near to File Menu is called as
que,???.."
que,"To select a whole row, click the
que,mouse pointer on the number of ÿÿÿÿÿÿÿ"
que,"With ÿÿÿÿÿÿÿÿÿfunction, we get minimum
que,value in Range"
que,"If we increase the height of the row,
que,the text matter automatically gets shifted to the ÿÿÿÿÿÿÿÿÿof the Cell"
que,"Underline is used to make the text
que,ÿÿÿÿÿÿÿÿÿÿÿin the selected cells"
que,"In PowerPoint Broadcast Slide Show
que,option is available under
que,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿribbon."
que,"To add copy of current slide -------------
que,--- command is used by clicking on the slide with mouse."
que,"To Change Slide layout ----------------- option selected on Home tab in slide
que,group."
que,"Presentation files are made in ----------
que,- type of software."
que,"Video file can be inserted in the slide
que,through -"
que,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIs Search Engine.
que,"You can send attachment with E-Mail,
que,by ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIt"
que,"Main computer on Network is called
que,as ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
que,"ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿShows a location address
que,on the Browser."
que,"While Message data sending,
que,connecting and breaking are controlled by ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
